rating,treatment,start_time,end_time,nov_2015
2.7,23_a,9:10,12:30,9
2.5,23_a,9:10,12:30,9
2,23_a,9:10,12:30,9
2.5,23_a,9:10,12:30,9
1.25,23_a,9:10,12:30,9
3.0,23_a,9:10,12:30,9
2.5,23_a,9:10,12:30,9
3,23_a,9:10,12:30,9
2.0,23_a,9:10,12:30,9
1.9,23_a,9:10,12:30,9
2,23_a,9:10,12:30,9
1.8,23_a,9:10,12:30,9
3.0,24_c,12:30,15:45,9
3.0,24_c,12:30,15:45,9
2,24_c,12:30,15:45,9
1.5,24_c,12:30,15:45,9
2.2,24_c,12:30,15:45,9
2.5,24_c,12:30,15:45,9
2,24_c,12:30,15:45,9
2.5,24_c,12:30,15:45,9
1.9,24_c,12:30,15:45,9
1,24_c,12:30,15:45,9
3,24_h,9:10,12:15,10
2.5,24_h,9:10,12:15,10
2.0,24_h,9:10,12:15,10
2.5,24_h,9:10,12:15,10
2.0,24_h,9:10,12:15,10
1.9,24_h,9:10,12:15,10
3.0,24_h,9:10,12:15,10
2,24_h,9:10,12:15,10
2.7,24_a,12:15,15:50,10
2,24_a,12:15,15:50,10
2.7,24_a,12:15,15:50,10
3,24_a,12:15,15:50,10
3.0,24_a,12:15,15:50,10
3,24_a,12:15,15:50,10
2.5,24_a,12:15,15:50,10
3.0,23_h,8:50,12:36,11
2.7,23_h,8:50,12:36,11
3,23_h,8:50,12:36,11
2.2,23_h,8:50,12:36,11
1.8,23_h,8:50,12:36,11
3.0,23_h,8:50,12:36,11
2.8,23_h,8:50,12:36,11
2,23_h,8:50,12:36,11
2,23_h,8:50,12:36,11
1,23_h,8:50,12:36,11
2.0,23_h,8:50,12:36,11
3,off,12:36,15:50,11
3,off,12:36,15:50,11
2.8,off,12:36,15:50,11
2.8,off,12:36,15:50,11
3.0,off,12:36,15:50,11
2.5,off,12:36,15:50,11
3,off,12:36,15:50,11
2.5,off,12:36,15:50,11
3,off,12:36,15:50,11
2.3,off,12:36,15:50,11
3,23_a_star,9:02,12:39,12
2.5,23_a_star,9:02,12:39,12
2.7,23_a_star,9:02,12:39,12
2.8,23_a_star,9:02,12:39,12
2.5,23_a_star,9:02,12:39,12
2.5,23_a_star,9:02,12:39,12
2.00,23_a_star,9:02,12:39,12
3,23_a_star,9:02,12:39,12
2,23_a_star,9:02,12:39,12
3,23_c,12:40,16:00,12
2.3,23_c,12:40,16:00,12
2.7,23_c,12:40,16:00,12
2.0,23_c,12:40,16:00,12
2,23_c,12:40,16:00,12
1.5,23_c,12:40,16:00,12
2.5,23_c,12:40,16:00,12
2,23_c,12:40,16:00,12
2.3,23_c,12:40,16:00,12
3,23_c,12:40,16:00,12